Frame,Time
776,2021-02-24_14:02:40.999932
777,2021-02-24_14:02:41.057838
778,2021-02-24_14:02:41.126809
779,2021-02-24_14:02:41.189682
780,2021-02-24_14:02:41.234058
781,2021-02-24_14:02:41.279954
782,2021-02-24_14:02:41.321968
783,2021-02-24_14:02:41.366951
784,2021-02-24_14:02:41.411084
785,2021-02-24_14:02:41.478917
786,2021-02-24_14:02:41.519211
787,2021-02-24_14:02:41.566248
788,2021-02-24_14:02:41.613649
789,2021-02-24_14:02:41.650681
790,2021-02-24_14:02:41.698361
791,2021-02-24_14:02:41.747610
792,2021-02-24_14:02:41.786429
793,2021-02-24_14:02:41.843823
794,2021-02-24_14:02:41.888531
795,2021-02-24_14:02:41.931714
796,2021-02-24_14:02:41.989907
797,2021-02-24_14:02:42.031875
798,2021-02-24_14:02:42.073646
799,2021-02-24_14:02:42.134547
800,2021-02-24_14:02:42.175035
801,2021-02-24_14:02:42.218681
802,2021-02-24_14:02:42.276224
803,2021-02-24_14:02:42.315022
804,2021-02-24_14:02:42.356114
805,2021-02-24_14:02:42.418384
806,2021-02-24_14:02:42.456408
