Frame,Time
177,2021-02-24_14:02:09.262655
178,2021-02-24_14:02:09.304001
179,2021-02-24_14:02:09.368035
180,2021-02-24_14:02:09.415419
181,2021-02-24_14:02:09.458224
182,2021-02-24_14:02:09.521749
183,2021-02-24_14:02:09.562653
184,2021-02-24_14:02:09.610135
185,2021-02-24_14:02:09.660049
186,2021-02-24_14:02:09.699614
187,2021-02-24_14:02:09.747007
188,2021-02-24_14:02:09.794529
189,2021-02-24_14:02:09.833964
190,2021-02-24_14:02:09.878737
191,2021-02-24_14:02:09.939272
192,2021-02-24_14:02:09.987807
193,2021-02-24_14:02:10.042464
194,2021-02-24_14:02:10.094435
195,2021-02-24_14:02:10.135771
196,2021-02-24_14:02:10.201973
197,2021-02-24_14:02:10.251925
198,2021-02-24_14:02:10.303727
199,2021-02-24_14:02:10.364869
200,2021-02-24_14:02:10.411634
201,2021-02-24_14:02:10.468106
202,2021-02-24_14:02:10.513193
203,2021-02-24_14:02:10.559930
204,2021-02-24_14:02:10.606784
205,2021-02-24_14:02:10.660925
206,2021-02-24_14:02:10.700896
207,2021-02-24_14:02:10.756326
208,2021-02-24_14:02:10.813873
209,2021-02-24_14:02:10.865113
210,2021-02-24_14:02:10.922433
211,2021-02-24_14:02:10.968798
212,2021-02-24_14:02:11.015909
213,2021-02-24_14:02:11.064563
214,2021-02-24_14:02:11.109920
215,2021-02-24_14:02:11.170738
216,2021-02-24_14:02:11.227681
217,2021-02-24_14:02:11.295205
218,2021-02-24_14:02:11.342997
219,2021-02-24_14:02:11.392652
220,2021-02-24_14:02:11.453981
221,2021-02-24_14:02:11.496330
222,2021-02-24_14:02:11.544404
223,2021-02-24_14:02:11.591963
224,2021-02-24_14:02:11.630994
225,2021-02-24_14:02:11.677086
226,2021-02-24_14:02:11.726034
227,2021-02-24_14:02:11.764972
228,2021-02-24_14:02:11.806087
229,2021-02-24_14:02:11.860475
230,2021-02-24_14:02:11.900434
231,2021-02-24_14:02:11.944477
232,2021-02-24_14:02:12.003861
233,2021-02-24_14:02:12.048383
234,2021-02-24_14:02:12.095270
235,2021-02-24_14:02:12.157376
236,2021-02-24_14:02:12.200133
237,2021-02-24_14:02:12.272646
238,2021-02-24_14:02:12.321655
239,2021-02-24_14:02:12.394309
240,2021-02-24_14:02:12.445993
241,2021-02-24_14:02:12.511887
242,2021-02-24_14:02:12.560828
243,2021-02-24_14:02:12.609037
244,2021-02-24_14:02:12.658529
245,2021-02-24_14:02:12.699153
246,2021-02-24_14:02:12.755323
247,2021-02-24_14:02:12.798552
248,2021-02-24_14:02:12.861184
249,2021-02-24_14:02:12.908108
250,2021-02-24_14:02:12.969602
251,2021-02-24_14:02:13.014950
252,2021-02-24_14:02:13.052259
253,2021-02-24_14:02:13.118810
254,2021-02-24_14:02:13.162224
255,2021-02-24_14:02:13.213240
256,2021-02-24_14:02:13.262919
257,2021-02-24_14:02:13.307434
258,2021-02-24_14:02:13.360833
259,2021-02-24_14:02:13.404685
260,2021-02-24_14:02:13.450342
261,2021-02-24_14:02:13.489387
262,2021-02-24_14:02:13.551037
263,2021-02-24_14:02:13.597772
264,2021-02-24_14:02:13.639651
265,2021-02-24_14:02:13.694832
266,2021-02-24_14:02:13.733372
267,2021-02-24_14:02:13.781981
268,2021-02-24_14:02:13.837842
269,2021-02-24_14:02:13.882290
270,2021-02-24_14:02:13.938582
271,2021-02-24_14:02:13.990321
272,2021-02-24_14:02:14.030965
273,2021-02-24_14:02:14.081245
274,2021-02-24_14:02:14.136896
275,2021-02-24_14:02:14.181464
276,2021-02-24_14:02:14.227141
277,2021-02-24_14:02:14.286787
278,2021-02-24_14:02:14.326215
279,2021-02-24_14:02:14.386086
280,2021-02-24_14:02:14.433698
281,2021-02-24_14:02:14.496096
282,2021-02-24_14:02:14.551022
283,2021-02-24_14:02:14.591318
284,2021-02-24_14:02:14.639579
285,2021-02-24_14:02:14.690298
286,2021-02-24_14:02:14.731498
287,2021-02-24_14:02:14.801498
288,2021-02-24_14:02:14.854530
289,2021-02-24_14:02:14.909185
290,2021-02-24_14:02:14.959206
291,2021-02-24_14:02:15.001246
292,2021-02-24_14:02:15.050336
293,2021-02-24_14:02:15.113279
294,2021-02-24_14:02:15.180136
295,2021-02-24_14:02:15.225632
296,2021-02-24_14:02:15.277139
297,2021-02-24_14:02:15.338407
298,2021-02-24_14:02:15.381356
299,2021-02-24_14:02:15.429943
300,2021-02-24_14:02:15.493126
301,2021-02-24_14:02:15.542029
302,2021-02-24_14:02:15.589996
303,2021-02-24_14:02:15.631479
304,2021-02-24_14:02:15.685934
305,2021-02-24_14:02:15.729995
306,2021-02-24_14:02:15.803880
307,2021-02-24_14:02:15.852667
308,2021-02-24_14:02:15.908693
309,2021-02-24_14:02:15.957433
310,2021-02-24_14:02:16.002600
311,2021-02-24_14:02:16.050329
312,2021-02-24_14:02:16.103290
313,2021-02-24_14:02:16.155951
314,2021-02-24_14:02:16.220572
315,2021-02-24_14:02:16.274807
316,2021-02-24_14:02:16.320882
317,2021-02-24_14:02:16.387467
318,2021-02-24_14:02:16.451855
319,2021-02-24_14:02:16.520137
320,2021-02-24_14:02:16.572922
321,2021-02-24_14:02:16.644915
322,2021-02-24_14:02:16.688303
323,2021-02-24_14:02:16.742723
324,2021-02-24_14:02:16.798358
325,2021-02-24_14:02:16.851747
326,2021-02-24_14:02:16.914803
327,2021-02-24_14:02:16.956033
328,2021-02-24_14:02:17.011726
329,2021-02-24_14:02:17.062744
330,2021-02-24_14:02:17.101617
331,2021-02-24_14:02:17.146720
332,2021-02-24_14:02:17.200299
333,2021-02-24_14:02:17.245576
334,2021-02-24_14:02:17.295273
335,2021-02-24_14:02:17.351862
336,2021-02-24_14:02:17.405949
337,2021-02-24_14:02:17.473880
338,2021-02-24_14:02:17.515216
339,2021-02-24_14:02:17.562179
340,2021-02-24_14:02:17.634802
341,2021-02-24_14:02:17.677645
342,2021-02-24_14:02:17.727384
343,2021-02-24_14:02:17.774494
344,2021-02-24_14:02:17.838517
345,2021-02-24_14:02:17.908819
346,2021-02-24_14:02:17.952449
347,2021-02-24_14:02:17.998453
348,2021-02-24_14:02:18.053255
349,2021-02-24_14:02:18.117482
350,2021-02-24_14:02:18.184296
351,2021-02-24_14:02:18.250987
352,2021-02-24_14:02:18.315011
353,2021-02-24_14:02:18.382421
354,2021-02-24_14:02:18.446623
355,2021-02-24_14:02:18.515264
356,2021-02-24_14:02:18.558595
357,2021-02-24_14:02:18.632009
358,2021-02-24_14:02:18.672480
359,2021-02-24_14:02:18.720513
360,2021-02-24_14:02:18.772081
361,2021-02-24_14:02:18.828604
362,2021-02-24_14:02:18.886081
363,2021-02-24_14:02:18.934711
364,2021-02-24_14:02:18.980824
365,2021-02-24_14:02:19.046980
366,2021-02-24_14:02:19.095952
367,2021-02-24_14:02:19.164859
368,2021-02-24_14:02:19.210946
369,2021-02-24_14:02:19.269396
370,2021-02-24_14:02:19.334877
371,2021-02-24_14:02:19.397288
372,2021-02-24_14:02:19.444460
373,2021-02-24_14:02:19.493795
374,2021-02-24_14:02:19.554929
375,2021-02-24_14:02:19.595680
376,2021-02-24_14:02:19.683409
377,2021-02-24_14:02:19.734853
378,2021-02-24_14:02:19.805443
379,2021-02-24_14:02:19.856378
380,2021-02-24_14:02:19.913541
381,2021-02-24_14:02:19.975131
382,2021-02-24_14:02:20.022532
383,2021-02-24_14:02:20.069880
384,2021-02-24_14:02:20.132244
385,2021-02-24_14:02:20.176975
386,2021-02-24_14:02:20.241664
387,2021-02-24_14:02:20.282543
388,2021-02-24_14:02:20.327246
389,2021-02-24_14:02:20.384610
390,2021-02-24_14:02:20.424138
391,2021-02-24_14:02:20.471393
392,2021-02-24_14:02:20.519160
393,2021-02-24_14:02:20.558292
394,2021-02-24_14:02:20.607285
395,2021-02-24_14:02:20.653530
396,2021-02-24_14:02:20.693792
397,2021-02-24_14:02:20.751226
398,2021-02-24_14:02:20.805521
399,2021-02-24_14:02:20.855350
400,2021-02-24_14:02:20.916438
401,2021-02-24_14:02:20.958517
402,2021-02-24_14:02:21.016919
403,2021-02-24_14:02:21.061157
404,2021-02-24_14:02:21.127440
405,2021-02-24_14:02:21.171740
406,2021-02-24_14:02:21.249686
407,2021-02-24_14:02:21.302169
408,2021-02-24_14:02:21.351453
409,2021-02-24_14:02:21.400522
410,2021-02-24_14:02:21.462193
411,2021-02-24_14:02:21.513490
412,2021-02-24_14:02:21.570192
413,2021-02-24_14:02:21.621283
414,2021-02-24_14:02:21.661705
415,2021-02-24_14:02:21.709851
416,2021-02-24_14:02:21.776062
417,2021-02-24_14:02:21.818069
418,2021-02-24_14:02:21.882368
419,2021-02-24_14:02:21.933835
420,2021-02-24_14:02:21.977297
421,2021-02-24_14:02:22.032930
422,2021-02-24_14:02:22.079568
423,2021-02-24_14:02:22.128450
424,2021-02-24_14:02:22.183162
425,2021-02-24_14:02:22.244053
426,2021-02-24_14:02:22.319496
427,2021-02-24_14:02:22.361027
428,2021-02-24_14:02:22.409125
429,2021-02-24_14:02:22.458044
430,2021-02-24_14:02:22.497644
431,2021-02-24_14:02:22.554160
432,2021-02-24_14:02:22.595685
433,2021-02-24_14:02:22.658589
434,2021-02-24_14:02:22.702629
435,2021-02-24_14:02:22.756596
436,2021-02-24_14:02:22.806178
437,2021-02-24_14:02:22.866415
438,2021-02-24_14:02:22.913665
439,2021-02-24_14:02:22.963906
440,2021-02-24_14:02:23.017968
441,2021-02-24_14:02:23.060261
442,2021-02-24_14:02:23.118496
443,2021-02-24_14:02:23.167105
444,2021-02-24_14:02:23.205268
445,2021-02-24_14:02:23.269610
446,2021-02-24_14:02:23.312969
447,2021-02-24_14:02:23.360034
448,2021-02-24_14:02:23.414566
449,2021-02-24_14:02:23.457726
450,2021-02-24_14:02:23.514830
451,2021-02-24_14:02:23.564777
452,2021-02-24_14:02:23.615271
453,2021-02-24_14:02:23.686096
454,2021-02-24_14:02:23.755948
455,2021-02-24_14:02:23.805178
456,2021-02-24_14:02:23.855927
457,2021-02-24_14:02:23.901377
458,2021-02-24_14:02:23.969150
459,2021-02-24_14:02:24.035507
460,2021-02-24_14:02:24.101931
461,2021-02-24_14:02:24.164784
462,2021-02-24_14:02:24.217783
463,2021-02-24_14:02:24.279692
464,2021-02-24_14:02:24.333501
465,2021-02-24_14:02:24.402770
466,2021-02-24_14:02:24.451571
467,2021-02-24_14:02:24.516611
468,2021-02-24_14:02:24.566473
469,2021-02-24_14:02:24.634251
470,2021-02-24_14:02:24.688980
471,2021-02-24_14:02:24.735802
472,2021-02-24_14:02:24.806561
473,2021-02-24_14:02:24.851618
474,2021-02-24_14:02:24.903751
475,2021-02-24_14:02:24.965583
476,2021-02-24_14:02:25.010020
477,2021-02-24_14:02:25.064409
478,2021-02-24_14:02:25.112619
479,2021-02-24_14:02:25.158433
480,2021-02-24_14:02:25.213341
481,2021-02-24_14:02:25.257237
482,2021-02-24_14:02:25.303457
483,2021-02-24_14:02:25.356744
484,2021-02-24_14:02:25.402020
485,2021-02-24_14:02:25.456057
486,2021-02-24_14:02:25.501187
487,2021-02-24_14:02:25.545387
488,2021-02-24_14:02:25.606048
489,2021-02-24_14:02:25.653720
490,2021-02-24_14:02:25.696497
491,2021-02-24_14:02:25.742473
492,2021-02-24_14:02:25.790570
493,2021-02-24_14:02:25.833992
494,2021-02-24_14:02:25.878830
495,2021-02-24_14:02:25.942776
496,2021-02-24_14:02:25.984979
497,2021-02-24_14:02:26.036917
498,2021-02-24_14:02:26.087028
499,2021-02-24_14:02:26.139927
500,2021-02-24_14:02:26.205991
501,2021-02-24_14:02:26.248514
502,2021-02-24_14:02:26.303275
503,2021-02-24_14:02:26.358142
504,2021-02-24_14:02:26.397754
505,2021-02-24_14:02:26.459871
506,2021-02-24_14:02:26.507533
507,2021-02-24_14:02:26.560609
508,2021-02-24_14:02:26.618566
509,2021-02-24_14:02:26.660255
510,2021-02-24_14:02:26.723145
511,2021-02-24_14:02:26.770204
512,2021-02-24_14:02:26.828975
513,2021-02-24_14:02:26.879898
514,2021-02-24_14:02:26.945317
